1.4	0.004
2	0.011
2.6	0.022
3.2	0.034
3.8	0.044
4.4	0.058
5	0.066
5.6	0.08
6.2	0.088
6.8	0.099
7.4	0.109
8	0.117
8.6	0.123
9.2	0.131
9.8	0.139
10.4	0.145
13.4	0.179
16.4	0.2
19.4	0.222
22.4	0.236
25.4	0.251
28.4	0.262
31.4	0.268
34.4	0.279
37.4	0.284
40.4	0.287
43.4	0.29
46.4	0.294
49.4	0.298
52.4	0.298
55.4	0.298
58.4	0.298
61.4	0.294
64.4	0.294
67.4	0.29
70.4	0.29
73.4	0.287
82.4	0.284
85.4	0.279
88.4	0.279
91.4	0.268
94.4	0.263
97.4	0.262
100.4	0.258
115.4	0.239
130.4	0.222
145.4	0.207
160.4	0.189
175.4	0.174
190.4	0.159
205.4	0.145
220.4	0.131
235.4	0.123
250.4	0.112
265.4	0.108
280.4	0.102
295.4	0.094
310.4	0.09
325.4	0.08
340.4	0.071
355.4	0.068
370.4	0.065
385.4	0.058
400.4	0.057
415.4	0.05
430.4	0.05
445.4	0.047
460.4	0.043
475.4	0.043
490.4	0.039
506.4	0.039
525.4	0.036
541.4	0.036
557	0.036
578.6	0.036
598.4	0.032
613.4	0.028
628.4	0.028
643.4	0.028
666.2	0.025
681.2	0.025
